iter	Passed	Remaining
0	62	61988
1	73	36909
2	80	26840
3	84	21100
4	89	17749
5	93	15453
6	96	13737
7	100	12510
8	105	11578
9	110	10985
10	115	10343
11	119	9834
12	122	9323
13	128	9061
14	132	8678
15	138	8531
16	143	8313
17	146	8017
18	149	7744
19	153	7531
20	157	7333
21	160	7143
22	163	6952
23	166	6785
24	169	6626
25	173	6481
26	175	6336
27	178	6207
28	181	6083
29	184	5980
30	188	5886
31	191	5794
32	194	5700
33	197	5615
34	200	5535
35	204	5463
36	206	5387
37	210	5324
38	219	5420
39	225	5412
40	228	5352
41	231	5289
42	235	5233
43	235	5121
44	238	5067
45	242	5026
46	246	4991
47	249	4946
48	252	4903
49	256	4875
50	260	4838
51	263	4812
52	267	4772
53	267	4690
54	268	4611
55	271	4584
56	273	4524
57	276	4489
58	279	4458
59	281	4403
60	281	4340
61	285	4313
62	288	4288
63	291	4266
64	295	4248
65	298	4229
66	302	4208
67	302	4152
68	304	4104
69	307	4082
70	310	4066
71	313	4045
72	316	4023
73	319	4001
74	322	3983
75	323	3936
76	326	3919
77	330	3900
78	333	3882
79	336	3867
80	339	3852
81	342	3828
82	344	3810
83	348	3797
84	352	3789
85	355	3780
86	358	3767
87	362	3753
88	365	3739
89	368	3726
90	372	3716
91	375	3701
92	378	3687
93	381	3675
94	384	3664
95	388	3656
96	391	3647
97	395	3637
98	395	3602
99	399	3593
100	402	3582
101	406	3577
102	410	3574
103	414	3568
104	417	3562
105	421	3556
106	425	3550
107	429	3543
108	431	3530
109	435	3521
110	438	3515
111	442	3509
112	443	3484
113	446	3473
114	449	3462
115	453	3453
116	458	3460
117	462	3455
118	465	3446
119	468	3436
120	471	3426
121	474	3416
122	477	3405
123	480	3395
124	483	3384
125	486	3375
126	489	3367
127	493	3360
128	496	3350
129	499	3341
130	502	3331
131	505	3325
132	509	3321
133	512	3314
134	516	3307
135	519	3299
136	522	3290
137	525	3284
138	529	3281
139	533	3277
140	537	3271
141	540	3265
142	543	3258
143	547	3251
144	550	3243
145	553	3236
146	556	3229
147	559	3223
148	563	3216
149	566	3208
150	569	3201
151	572	3196
152	576	3190
153	579	3183
154	582	3176
155	586	3171
156	589	3165
157	592	3158
158	596	3153
159	599	3147
160	602	3141
161	606	3136
162	609	3128
163	612	3121
164	615	3116
165	619	3111
166	621	3099
167	624	3092
168	627	3084
169	630	3077
170	633	3069
171	636	3064
172	639	3058
173	642	3051
174	646	3045
175	649	3040
176	653	3036
177	656	3031
178	659	3026
179	663	3021
180	666	3015
181	669	3009
182	672	3002
183	675	2994
184	678	2990
185	681	2983
186	684	2977
187	687	2971
188	691	2966
189	694	2959
190	697	2954
191	700	2948
192	703	2941
193	706	2936
194	709	2930
195	713	2925
196	716	2920
197	719	2915
198	723	2911
199	727	2908
200	729	2899
201	732	2895
202	736	2892
203	740	2888
204	744	2885
205	748	2884
206	752	2881
207	755	2874
208	758	2869
209	761	2863
210	764	2858
211	767	2853
212	770	2847
213	773	2841
214	777	2837
215	780	2832
216	784	2830
217	787	2826
218	791	2823
219	795	2820
220	799	2817
221	802	2813
222	806	2808
223	809	2804
224	812	2799
225	815	2794
226	819	2790
227	822	2784
228	825	2779
229	828	2774
230	832	2770
231	835	2765
232	838	2760
233	841	2754
234	844	2750
235	848	2745
236	851	2740
237	854	2735
238	857	2730
239	860	2725
240	864	2721
241	867	2716
242	870	2711
243	873	2706
244	876	2701
245	879	2696
246	882	2690
247	886	2686
248	889	2681
249	892	2676
250	895	2672
251	898	2667
252	901	2662
253	904	2657
254	908	2653
255	911	2648
256	914	2642
257	917	2638
258	920	2632
259	923	2627
260	926	2622
261	929	2617
262	932	2613
263	936	2610
264	939	2606
265	943	2602
266	946	2597
267	948	2591
268	952	2587
269	955	2582
270	958	2578
271	961	2574
272	964	2569
273	968	2565
274	971	2561
275	975	2557
276	978	2554
277	981	2548
278	984	2543
279	987	2539
280	990	2535
281	995	2535
282	999	2531
283	1002	2527
284	1005	2523
285	1009	2519
286	1012	2515
287	1015	2511
288	1018	2506
289	1022	2502
290	1025	2498
291	1028	2494
292	1031	2489
293	1035	2486
294	1038	2481
295	1041	2476
296	1044	2472
297	1047	2468
298	1050	2463
299	1054	2460
300	1057	2456
301	1060	2451
302	1064	2449
303	1068	2447
304	1073	2445
305	1077	2443
306	1081	2441
307	1084	2436
308	1088	2433
309	1091	2429
310	1094	2424
311	1097	2420
312	1101	2417
313	1104	2413
314	1108	2410
315	1111	2405
316	1114	2401
317	1117	2397
318	1120	2393
319	1124	2389
320	1127	2385
321	1131	2381
322	1134	2377
323	1140	2379
324	1144	2377
325	1148	2374
326	1152	2371
327	1155	2367
328	1158	2363
329	1162	2359
330	1165	2355
331	1168	2351
332	1172	2347
333	1175	2344
334	1179	2340
335	1182	2336
336	1185	2332
337	1188	2327
338	1191	2323
339	1194	2319
340	1198	2316
341	1202	2313
342	1205	2309
343	1209	2305
344	1212	2301
345	1215	2297
346	1218	2293
347	1221	2289
348	1225	2286
349	1229	2283
350	1232	2279
351	1236	2275
352	1239	2272
353	1242	2267
354	1246	2263
355	1249	2260
356	1252	2256
357	1255	2251
358	1258	2247
359	1261	2243
360	1264	2239
361	1268	2234
362	1271	2230
363	1274	2227
364	1277	2222
365	1280	2218
366	1284	2214
367	1287	2210
368	1290	2207
369	1294	2203
370	1297	2200
371	1301	2196
372	1304	2192
373	1307	2187
374	1310	2183
375	1313	2179
376	1317	2177
377	1320	2173
378	1323	2169
379	1327	2165
380	1330	2161
